License Year, Hunting District,Deer Species,Residency,Hunters,Days,Days per Hunter,Total Harvest,Bucks,Does,Fawns,Bow,Rifle,Less than 4 Points, 4 or More Points
2020,217,all_deer,SUM,0,0,0,135,54,80,0,0,135,8,46
2020,217,md,N,0,0,0,0,0,0,0,0,0,0,0
2020,217,md,R,0,0,0,13,4,8,0,0,13,0,4
2020,217,md,SUM,0,0,0,13,4,8,0,0,13,0,4
2020,217,wt,N,0,0,0,9,3,6,0,0,9,3,0
2020,217,wt,R,0,0,0,114,47,67,0,0,114,6,42
2020,217,wt,SUM,0,0,0,122,50,72,0,0,122,8,42
2020,240,all_deer,N,0,0,0,57,38,19,0,0,57,16,22
2020,240,all_deer,R,0,0,0,861,645,206,10,126,735,257,388
2020,240,all_deer,SUM,0,0,0,918,683,225,10,126,792,273,410
2020,240,md,N,0,0,0,30,30,0,0,0,30,13,16
2020,240,md,R,0,0,0,90,83,7,0,5,85,56,27
2020,240,md,SUM,0,0,0,120,113,7,0,5,115,70,43
2020,240,wt,N,0,0,0,28,9,19,0,0,28,3,6
2020,240,wt,R,0,0,0,770,561,199,10,121,650,201,361
2020,240,wt,SUM,0,0,0,798,570,218,10,121,677,203,367
2020,250,all_deer,N,0,0,0,3,3,0,0,0,3,0,3
2020,250,all_deer,R,0,0,0,97,93,3,0,0,97,39,55
2020,250,all_deer,SUM,0,0,0,100,96,3,0,0,100,39,57
2020,250,md,N,0,0,0,0,0,0,0,0,0,0,0
2020,250,md,R,0,0,0,14,14,0,0,0,14,2,12
2020,250,md,SUM,0,0,0,14,14,0,0,0,14,2,12
2020,250,wt,N,0,0,0,3,3,0,0,0,3,0,3
2020,250,wt,R,0,0,0,83,80,3,0,0,83,37,42
2020,250,wt,SUM,0,0,0,86,82,3,0,0,86,37,45
2020,260,all_deer,N,0,0,0,37,18,19,0,30,7,0,18
2020,260,all_deer,R,0,0,0,709,214,492,3,560,150,52,161
2020,260,all_deer,SUM,0,0,0,746,231,511,3,590,156,52,179
2020,260,md,N,0,0,0,0,0,0,0,0,0,0,0
2020,260,md,R,0,0,0,16,7,9,0,8,8,3,3
2020,260,md,SUM,0,0,0,16,7,9,0,8,8,3,3
2020,260,wt,N,0,0,0,37,18,19,0,30,7,0,18
2020,260,wt,R,0,0,0,693,207,483,3,552,141,49,158
2020,260,wt,SUM,0,0,0,730,224,502,3,582,148,49,176
2020,261,all_deer,N,0,0,0,9,9,0,0,0,9,3,6
2020,261,all_deer,R,0,0,0,179,123,55,0,30,149,34,90
2020,261,all_deer,SUM,0,0,0,187,132,55,0,30,157,36,96
2020,261,md,N,0,0,0,0,0,0,0,0,0,0,0
2020,261,md,R,0,0,0,18,16,2,0,3,15,3,12
2020,261,md,SUM,0,0,0,18,16,2,0,3,15,3,12
2020,261,wt,N,0,0,0,9,9,0,0,0,9,3,6
2020,261,wt,R,0,0,0,161,107,53,0,27,134,30,77
2020,261,wt,SUM,0,0,0,169,116,53,0,27,143,33,83
2020,262,all_deer,N,0,0,0,5,0,5,0,2,3,0,0
2020,262,all_deer,R,0,0,0,461,243,218,0,111,350,69,175
2020,262,all_deer,SUM,0,0,0,466,243,223,0,113,353,69,175
2020,262,md,N,0,0,0,0,0,0,0,0,0,0,0
2020,262,md,R,0,0,0,78,23,56,0,34,44,3,20
2020,262,md,SUM,0,0,0,78,23,56,0,34,44,3,20
2020,262,wt,N,0,0,0,5,0,5,0,2,3,0,0
2020,262,wt,R,0,0,0,383,221,162,0,77,306,66,155
2020,262,wt,SUM,0,0,0,388,221,168,0,79,309,66,155
2020,270,all_deer,N,0,0,0,34,23,10,0,0,34,13,10
2020,270,all_deer,R,0,0,0,258,165,93,0,46,212,68,97
2020,270,all_deer,SUM,0,0,0,291,188,103,0,46,245,81,107
2020,270,md,N,0,0,0,15,10,5,0,0,15,6,4
2020,270,md,R,0,0,0,72,50,22,0,8,64,6,44
2020,270,md,SUM,0,0,0,86,60,27,0,8,79,12,48
2020,270,wt,N,0,0,0,19,13,5,0,0,19,8,6
2020,270,wt,R,0,0,0,186,115,71,0,39,148,62,54
2020,270,wt,SUM,0,0,0,205,129,77,0,39,166,69,59
2020,280,all_deer,N,0,0,0,2,2,0,0,0,2,2,0
2020,280,all_deer,R,0,0,0,10,3,7,0,0,10,0,3
2020,280,all_deer,SUM,0,0,0,12,5,7,0,0,12,2,3
2020,280,md,N,0,0,0,2,2,0,0,0,2,2,0
2020,280,md,R,0,0,0,3,3,0,0,0,3,0,3
2020,280,md,SUM,0,0,0,5,5,0,0,0,5,2,3
2020,280,wt,N,0,0,0,0,0,0,0,0,0,0,0
2020,280,wt,R,0,0,0,7,0,7,0,0,7,0,0
2020,280,wt,SUM,0,0,0,7,0,7,0,0,7,0,0
2020,281,all_deer,N,0,0,0,21,21,0,0,0,21,4,18
2020,281,all_deer,R,0,0,0,242,222,21,0,16,226,90,132
2020,281,all_deer,SUM,0,0,0,263,243,21,0,16,247,93,149
2020,281,md,N,0,0,0,5,5,0,0,0,5,2,3
2020,281,md,R,0,0,0,23,23,0,0,0,23,3,21
2020,281,md,SUM,0,0,0,28,28,0,0,0,28,4,24
2020,281,wt,N,0,0,0,16,16,0,0,0,16,2,15
2020,281,wt,R,0,0,0,219,199,21,0,16,203,87,111
2020,281,wt,SUM,0,0,0,236,215,21,0,16,220,89,126
2020,282,all_deer,N,0,0,0,0,0,0,0,0,0,0,0
2020,282,all_deer,R,0,0,0,56,43,13,0,14,43,24,16
2020,282,all_deer,SUM,0,0,0,56,43,13,0,14,43,24,16
2020,282,md,N,0,0,0,0,0,0,0,0,0,0,0
2020,282,md,R,0,0,0,7,7,0,0,0,7,3,3
