"species","length","weight"
"N PMN",97,7
"PWF",106,7
"YP",76,4
"L WF",465,943
"RS SH",84,5
"N PMN",238,120
"PWF",139,20
"LT",659,2294
"RS SH",80,5
"N PMN",322,316
"RS SH",85,5
"L WF",499,1117
"N PMN",232,108
"N PMN",222,105
"RS SH",85,5
"L WF",255,126
"RS SH",85,5
"L WF",465,1009
"L WF",257,125
"N PMN",252,147
"RS SH",80,4
"L WF",485,1117
"L WF",454,835
"PWF",133,16
"LT",520,1008
"L WF",566,1804
"PWF",133,19
"PWF",143,17
"L WF",506,1184
"PWF",132,16
"L WF",512,1305
"PWF",127,12
"N PMN",140,20
"L WF",324,290
"PWF",135,18
"LT",495,1088
"L WF",330,325
"LT",397,677
"PWF",143,19
"N PMN",181,45
"L WF",522,1563
"N PMN",220,96
"PEA",245,121
"LT",815,4409
"PWF",140,17
"L WF",462,947
"PWF",143,20
"RS SH",90,5
"PWF",143,23
"LT",890,5792
"LT",500,985
"N PMN",186,53
"L WF",485,1246
"RS SH",92,6
"RS SH",92,6
"N PMN",205,67
"N PMN",185,49
"N PMN",125,13
"N PMN",125,14
"N PMN",183,45
"N PMN",240,123
"PEA",92,5
"RS SH",85,6
"N PMN",225,108
"LT",565,1439
"PWF",131,19
"N PMN",290,231
"PWF",146,22
"N PMN",294,229
"PWF",140,13
"RS SH",82,4
"LT",465,828
"L WF",520,1405
"N PMN",263,163
"PWF",134,15
"PWF",103,6
"N PMN",126,15
"N PMN",226,98
"LT",566,2012
"LT",609,1737
"L WF",473,1124
"N PMN",382,517
"L WF",471,947
"N PMN",269,172
"L WF",132,16
"PEA",245,122
"LT",535,1300
"L WF",468,962
"L WF",414,545
"L WF",140,20
"LT",370,468
"L WF",526,1540
"PWF",137,16
"LT",642,2352
"L WF",490,1216
"L WF",128,15
"N PMN",123,15
"L WF",312,224
"N PMN",125,14
"PEA",240,112
"L WF",458,915
"LT",460,785
"N PMN",309,283
"L WF",572,1831
"L WF",334,274
"N PMN",268,163
"PEA",260,150
"YP",251,178
"LT",327,306
"PEA",267,178
"L WF",482,1069
"L WF",480,1062
"LT",402,706
"LT",745,2680
"N PMN",211,67
"L WF",276,156
"N PMN",262,151
"L WF",130,15
"L WF",326,272
"L WF",140,19
"LT",541,1250
"N PMN",200,62
"LT",536,1120
"L WF",226,87
"L WF",437,724
"L WF",438,764
"N PMN",300,261
"PWF",111,9
"L WF",411,609
"N PMN",241,122
"N PMN",327,352
"L WF",122,12
"N PMN",285,225
"N PMN",240,125
"PWF",92,5
"L WF",482,1064
"N PMN",313,325
"L WF",129,15
"LS SU",476,1210
"L WF",475,1051
"LT",555,1722
"LT",726,3245
"L WF",251,114
"LN SU",244,148
"N PMN",306,278
"N PMN",302,268
"L WF",147,22
"LT",511,1207
"N PMN",204,62
"L WF",128,14
"L WF",384,430
"N PMN",311,266
"LT",450,745
"PEA",246,137
"N PMN",220,88
"L WF",134,17
"LT",650,2488
"LT",750,3272
"L WF",562,2111
"N PMN",122,14
"YP",262,161
"L WF",421,626
"L WF",345,406
"L WF",480,912
"LT",200,68
"L WF",242,106
"N PMN",302,235
"PEA",271,184
"YP",222,123
"L WF",476,1080
"N PMN",128,15
"L WF",454,817
"L WF",468,864
"LT",422,802
"N PMN",133,17
"N PMN",357,462
"LT",512,1091
"L WF",492,1208
"L WF",472,1180
"LT",345,350
"N PMN",130,17
"LT",402,537
"N PMN",180,45
"L WF",491,1309
"N PMN",136,19
"N PMN",271,183
"L WF",430,672
"L WF",390,449
"L WF",131,15
